"modal_title_text","modal_title_text"
"Account Activity","アカウントアクティビティ"
"All other open sessions for this account were terminated.","このアカウントの他のすべてのログインセッションは期限切れになりました。"
"We couldn't logout because of an error.","エラーのためログアウトできませんでした。"
"Someone logged into this account from another device or browser. Your current session is terminated.","誰かが別のデバイスやブラウザからこのアカウントにログインしました。 あなたの現在のセッションは終了します。"
"Your current session is terminated by another user of this account.","現在のセッションは、このアカウントの別のユーザーによって終了されます。"
"Your account is temporarily disabled. Please try again later.","あなたのアカウントは一時的にご利用できません。後で再度お試し下さい。"
"Your current session has been expired.","セッションが期限切れになりました。"
"By IP and Email","IPアドレスとメールアドレス"
"By IP","IPアドレス"
"By Email","メールアドレス"
"None","なし"
"Expiration Date","有効期限日"
"We received too many requests for password resets. Please wait and try again later or contact %1.","パスワードのリセットのリクエストが多すぎます。 しばらくしてから再度お試し頂くか、%1 にご連絡下さい。"
"Incorrect Security Checker class. It has to implement SecurityCheckerInterface","セキュリティチェッカークラスが正しくありません。 SecurityCheckerInterfaceを実装する必要があります"
"""%1"" must be later than the current date.","""%1""は現在の日付より後にする必要があります。"
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","ログイン情報が正しくないか、あなたのアカウントは一時的に無効になっています。しばらく待ってやり直してください。"
"some error","なんらかのエラー"
"This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer.","この管理者アカウントは、複数の場所で開いています。 他の場所は、同じコンピュータ上のブラウザやセッションが異なる場合があります。"
"Concurrent session information:","同時セッション情報:"
"IP Address","IPアドレス"
"Time of session start","セッション開始時刻"
"Are you sure that you want to log out all other sessions?","他のすべてのセッションをログアウトしてもよろしいですか？"
"Log out all other sessions","他のすべてのセッションをログアウトする"
"This computer is using IP address %1.","このコンピュータはIPアドレス %1 を使用しています。"
"Warning","警告"
": You are about to set max session size in admin to be lower than recommended default session size. Low max session size in admin could break admin functionalities such as admin panel login. Are you sure you want to make this change?",": You are about to set max session size in admin to be lower than recommended default session size. Low max session size in admin could break admin functionalities such as admin panel login. Are you sure you want to make this change?"
": You are about to set max session size in storefront to be lower than  recommended default session size. Low max session size in storefront could break storefront functionalities such as customer login. Are you sure you want to make this change?",": You are about to set max session size in storefront to be lower than  recommended default session size. Low max session size in storefront could break storefront functionalities such as customer login. Are you sure you want to make this change?"
"No","いいえ"
"Yes","はい"
"Admin Account Sharing","管理者アカウントの共有"
"If set to Yes, you can log in from multiple computers into same account. Default setting No improves security.","[はい]に設定すると、複数のコンピュータから同じアカウントにログインできます。デフォルト設定はセキュリティを向上させます。"
"Password Reset Protection Type","パスワードリセットの制御方法"
"Max Number of Password Reset Requests","パスワードリセットリクエストの送信回数"
"Limit the number of password reset request per hour. Use 0 to disable.","1時間あたりに実行できるパスワードリセットの回数です。0の場合は無効です。"
"Min Time Between Password Reset Requests","パスワードリセットリクエストの最短間隔"
"Delay in minutes between password reset requests. Use 0 to disable.","パスワードリセットリクエストを再実行できる間隔を指定します。0の場合は無効です。"
"Security","セキュリティ"
"Max Session Size in Admin","管理画面の最大セッションサイズ"
"Max Session Size in Storefront","ストアフロントでのセッション最大サイズ"
