"Subscription status","Påmeldingsstatus"
"Sorry, there has been an error processing your request. Please try again later.","Beklager, det oppstod en feil under behandling av forespørselen. Prøv igjen senere."
"Time value has an unsupported format","Time value has an unsupported format"
"Cron settings can't be saved","Cron alternativer kan ikke lagres"
"There was an error save new configuration value.","Det oppstod en feil under lagringen av ny konfigurasjonsverdi."
"Please select a vertical.","Velg en vertikal."
"--Please Select--","-Vennligst velg--"
"Command was not found.","Kommandoen ble ikke funnet."
"Input data must be string or convertible into string.","Input data must be string or convertible into string."
"Input data must be non-empty string.","Input data must be non-empty string."
"Not valid cipher method.","Not valid cipher method."
"Encryption key can't be empty.","Encryption key can't be empty."
"Source ""%1"" is not exist","Source ""%1"" is not exist"
"These arguments can't be empty ""%1""","Disse argumentene kan ikke være tom ""%1"""
"Cannot find predefined integration user!","Finner ikke den forhåndsdefinerte integreringsbrukeren!"
"File is not ready yet.","Filen er ikke klar ennå."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Base URL er endret, og rapportene blir oppdatert. Avansert rapportering vil være tilgjengelig når endringen er behandlet. Prøv igjen senere."
"Failed to synchronize data to the Magento Business Intelligence service. ","Kan ikke synkronisere data til Magento Business Intelligence service. "
"<a href=""%1"">Retry Synchronization</a>","<a href=""%1"">Retry Synchronization</a>"
"TestMessage","TestMelding"
"Apps and Games","Programmer og spill"
"Athletic/Sporting Goods","Atletisk/sportsbutikk"
"Art and Design","Kunst og design"
"Advanced Reporting","Avansert rapportering"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Få ny innsikt og ta kommandoen over bedriftens ytelse, ved hjelp av våre dynamisk produkt, orden- og kunderapporter tilpasset kundedataene."
"Go to Advanced Reporting","Gå til avansert rapportering"
"Analytics","Analytics"
"API","API"
"Configuration","Innstillinger"
"Business Intelligence","Forretningsinformasjon"
"BI Essentials","BI Essentials"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>."
"Advanced Reporting Service","Avansert rapporteringstjeneste"
"Time of day to send data","Tiden på dagen for å sende data"
"Industry","Industri"
"In order to personalize your Advanced Reporting experience, please select your industry.","For å tilpasse opplevelsen avansert rapportering, velg din bransje."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Få mer innsikt fra Magento bedriftsinformasjon</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers."
"Auto Parts","Automatiske deler"
"Baby/Children’s Apparel, Gear and Toys","Baby/barn klær, utstyr og leker"
"Beauty and Cosmetics","Skjønnhet og velvære"
"Books, Music and Magazines","Bøker, musikk og magasiner"
"Crafts and Stationery","Håndverk og skrivemateriell"
"Consumer Electronics","Forbrukerelektronikk"
"Deal Site","Avtalenettsted"
"Fashion Apparel and Accessories","Mote klær og tilbehør"
"Food, Beverage and Grocery","Mat, drikke og dagligvarer"
"Home Goods and Furniture","Hjem varer og møbler"
"Home Improvement","Oppussing"
"Jewelry and Watches","Smykker og klokker"
"Mass Merchant","Massesalg"
"Office Supplies","Kontorrekvisita"
"Outdoor and Camping Gear","Utendørs og Camping utstyr"
"Pet Goods","Kjæledyr utstyr"
"Pharma and Medical Devices","Farmasøytisk og medisinsk utstyr"
"Technology B2B","Teknologi B2B"
"Other","Andre"
"The time value is using an unsupported format. Enter a supported format and try again.","The time value is using an unsupported format. Enter a supported format and try again."
"Please select an industry.","Please select an industry."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","The data is invalid. Enter the data as a string or data that can be converted into a string and try again."
"The data is invalid. Enter the data as a string and try again.","The data is invalid. Enter the data as a string and try again."
"The data is invalid. Use a valid cipher method and try again.","The data is invalid. Use a valid cipher method and try again."
"Enter the encryption key and try again.","Enter the encryption key and try again."
"The ""%1"" source doesn't exist.","The ""%1"" source doesn't exist."
"Retry Synchronization","Retry Synchronization"
