"Save Currency Rates","Сохранить валютные курсы"
"Options","Параметры"
"Reset","Сбросить"
"Import","Импорт"
"Manage Currency Rates","Управление курсами валют"
"Import Service","Служба импорта"
"Save Currency Symbols","Сохранить символы валют"
"Currency Symbols","Символы валют"
"Use Standard","Использовать стандартный"
"Please specify a correct Import Service.","Please specify a correct Import Service."
"We can't initialize the import model.","We can't initialize the import model."
"Click ""Save"" to apply the rates we found.","Нажмите «Сохранить», чтобы применить найденные курсы валют."
"Currency Rates","Курсы валют"
"Please correct the input data for ""%1 => %2"" rate.","Пожалуйста, исправьте входные данные для курса ""%1 => %2""."
"All valid rates have been saved.","Все действующие курсы валют были сохранены."
"System","Система"
"You applied the custom currency symbols.","Вы применяли пользовательские символы валюты."
"You must first configure currency options before being able to see currency rates.","Вы должны сначала настроить параметры валюты, прежде чем иметь возможность видеть курсы валют."
"Old rate:","Старая цена:"
"Currency","Валюта"
"Please correct the input data for %1 => %2 rate","Please correct the input data for %1 => %2 rate"
"The Import Service is incorrect. Verify the service and try again.","Служба импорта неверна. Проверьте службу и повторите попытку."
"The import model can't be initialized. Verify the model and try again.","Импортируемая модель не может быть инициализирована. Проверьте модель и повторите попытку."
