"Downloadable Information","බාගත හැකි තොරතුරු"
"Add New Link","නව සබැඳිය එක් කරන්න"
"Upload Files","ගොනු උඩුගත කරන්න"
"All Files","සියලුම ගොනු"
"Unlimited","අසීමිතයි"
"Something went wrong while getting the requested content.","ඉල්ලූ අන්තර්ගතය ලබා ගැනීමේදී යම් දෙයක් වැරදී ඇත."
"My Downloadable Products","මගේ බාගත හැකි නිෂ්පාදන"
"We can't find the link you requested.","ඔබ ඉල්ලූ සබැඳිය අපට සොයාගත නොහැක."
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","කරුණාකර ඔබේ නිෂ්පාදනය බාගැනීමට හෝ <a href=""%1"">%2</a>මිලදී ගැනීමට පුරනය වන්න."
"Please sign in to download your product.","කරුණාකර ඔබේ නිෂ්පාදනය බාගැනීමට පුරනය වන්න."
"The link has expired.","සබැඳිය කල් ඉකුත් වී ඇත."
"The link is not available.","සබැඳිය නොමැත."
"Sorry, there was an error getting requested content. Please contact the store owner.","සමාවන්න, ඉල්ලූ අන්තර්ගතය ලබා ගැනීමේ දෝෂයක් ඇති විය. කරුණාකර ගබඩා හිමිකරු අමතන්න."
"Please set resource file and link type.","කරුණාකර සම්පත් ගොනුව සහ සබැඳි වර්ගය සකසන්න."
"Invalid download link type.","වලංගු නොවන බාගත කිරීමේ සබැඳි වර්ගය."
"Something went wrong while saving the file(s).","ගොනුව(ය) සුරැකීමේදී යම් දෙයක් වැරදී ඇත."
"Provided content must be valid base64 encoded data.","සපයන ලද අන්තර්ගතය වලංගු base64 කේතන දත්ත විය යුතුය."
"Provided file name contains forbidden characters.","සපයන ලද ගොනු නාමයේ තහනම් අක්ෂර අඩංගු වේ."
"Link file not provided","සබැඳි ගොනුව සපයා නැත"
"Link price must have numeric positive value.","සබැඳි මිලට සංඛ්‍යාත්මක ධන අගයක් තිබිය යුතුය."
"Number of downloads must be a positive integer.","බාගැනීම් ගණන ධන නිඛිලයක් විය යුතුය."
"Sort order must be a positive integer.","වර්ග කිරීමේ අනුපිළිවෙල ධන නිඛිලයක් විය යුතුය."
"Link URL must have valid format.","සබැඳි URL හි වලංගු ආකෘතියක් තිබිය යුතුය."
"Provided file content must be valid base64 encoded data.","සපයන ලද ගොනු අන්තර්ගතය වලංගු base64 කේතන දත්ත විය යුතුය."
"Sample URL must have valid format.","නියැදි URL හි වලංගු ආකෘතියක් තිබිය යුතුය."
"Order id cannot be null","ඇණවුම් හැඳුනුම්පත ශුන්‍ය විය නොහැක"
"Order item id cannot be null","ඇණවුම් අයිතම හැඳුනුම්පත ශුන්‍ය විය නොහැක"
"Provided product must be type 'downloadable'.","Provided product must be type 'downloadable'."
"Provided link information is invalid.","Provided link information is invalid."
"Invalid link type.","Invalid link type."
"Link title cannot be empty.","Link title cannot be empty."
"There is no downloadable link with provided ID.","There is no downloadable link with provided ID."
"Provided downloadable link is not related to given product.","Provided downloadable link is not related to given product."
"Cannot delete link with id %1","Cannot delete link with id %1"
"Please specify product link(s).","කරුණාකර නිෂ්පාදන සබැඳි(ය) සඳහන් කරන්න."
"Sample file not provided","නියැදි ගොනුව සපයා නැත"
"Provided sample information is invalid.","Provided sample information is invalid."
"Invalid sample type.","Invalid sample type."
"Sample title cannot be empty.","Sample title cannot be empty."
"There is no downloadable sample with provided ID.","There is no downloadable sample with provided ID."
"Provided downloadable sample is not related to given product.","Provided downloadable sample is not related to given product."
"Cannot delete sample with id %1","Cannot delete sample with id %1"
"Yes","ඔව්"
"No","නැත"
"Use config","config භාවිතා කරන්න"
"Upload File","ගොනුව උඩුගත කරන්න"
"URL","URL"
"attachment","ඇමුණුම"
"inline","පෙළට"
"Pending","පොරොත්තුවෙන්"
"Invoiced","ඉන්වොයිස් කර ඇත"
"To enable the option set the weight to no","විකල්පය සක්‍රීය කිරීමට බර අංක ලෙස සකසන්න"
"Is this downloadable Product?","මෙය බාගත හැකි නිෂ්පාදනයක්ද?"
"Links","සබැඳි"
"Title","ශීර්ෂය"
"Links can be purchased separately","සබැඳි වෙන වෙනම මිලදී ගත හැකිය"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","ගොනු නාම සඳහා අක්ෂරාංක, ඉර සහ යටි ඉරි අකුරු නිර්දේශ කෙරේ. නුසුදුසු අක්ෂර '_' සමඟ ප්‍රතිස්ථාපනය වේ."
"Add Link","සබැඳිය එක් කරන්න"
"Price","මිල"
"File","ගොනුව"
"Sample","නියැදිය"
"Shareable","බෙදාගත හැකි"
"Max. Downloads","උපරිම. භාගත කිරීම"
"Samples","සාම්පල"
"Use Default Value","පෙරනිමි අගය භාවිතා කරන්න"
"sample","නියැදිය"
"Is this a downloadable Product?","මෙය බාගත හැකි නිෂ්පාදනයක් ද?"
"Add links to your product files here.","ඔබේ නිෂ්පාදන ගොනු වෙත සබැඳි මෙහි එක් කරන්න."
"[STORE VIEW]","[ගබඩා දසුන]"
"[GLOBAL]","[GLOBAL]"
"Sort Order","අනුපිළිවෙල අනුපිළිවෙල"
"Attach File or Enter Link","ගොනුව අමුණන්න හෝ සබැඳිය ඇතුල් කරන්න"
"Sort Variations","වෙනස්කම් වර්ග කරන්න"
"Browse Files...","ගොනු බ්‍රවුස් කරන්න..."
"Delete","මකන්න"
"Add product preview files here.","නිෂ්පාදන පෙරදසුන් ගොනු මෙහි එක් කරන්න."
"SKU","SKU"
"U","යූ"
"Select all","සියල්ල තෝරන්න"
"Unselect all","සියල්ල තෝරා නොගන්න"
"Availability","පවතින බව"
"In stock","ගබඩාවේ ඇත"
"Out of stock","තොග අවසන්"
"Go to <a href=""%1"">My Downloadable Products</a>","මගේ බාගත කළ හැකි නිෂ්පාදන <a href=""%1"">වෙත යන්න</a>"
"Downloadable Products","බාගත හැකි නිෂ්පාදන"
"Order #","නියෝග #"
"Date","දිනය"
"Status","තත්ත්වය"
"Remaining Downloads","ඉතිරි බාගැනීම්"
"View Order","ඇණවුම බලන්න"
"Start Download","බාගත කිරීම ආරම්භ කරන්න"
"You have not purchased any downloadable products yet.","ඔබ තවමත් බාගත කළ හැකි නිෂ්පාදන කිසිවක් මිල දී ගෙන නැත."
"Back","ආපසු"
"download","බාගත"
"Gift Message","තෑගි පණිවිඩය"
"From:","සිට:"
"To:","වෙත:"
"Message:","පණිවුඩය:"
"Product Name","නිෂ්පාදන නාමය"
"Qty","Qty"
"Subtotal","උප එකතුව"
"Discount Amount","වට්ටම් මුදල"
"Row Total","පේළි එකතුව"
"Qty Invoiced","Qty ඉන්වොයිස්"
"Ordered","ඇණවුම් කළා"
"Shipped","නැව්ගත කර ඇත"
"Canceled","අවලංගු කළා"
"Refunded","ආපසු ගෙවන ලදී"
"We could not detect a size.","අපට ප්‍රමාණය හඳුනාගත නොහැකි විය."
"Downloadable Product Section","බාගත කළ හැකි නිෂ්පාදන අංශය"
"Downloads","භාගත කිරීම"
"Downloadable Product Options","බාගත කළ හැකි නිෂ්පාදන විකල්ප"
"Order Item Status to Enable Downloads","බාගැනීම් සබල කිරීමට අයිතම තත්ත්වය ඇණවුම් කරන්න"
"Default Maximum Number of Downloads","පෙරනිමි උපරිම බාගැනීම් ගණන"
"Default Sample Title","පෙරනිමි නියැදි මාතෘකාව"
"Default Link Title","පෙරනිමි සබැඳි මාතෘකාව"
"Open Links in New Window","නව කවුළුවක සබැඳි විවෘත කරන්න"
"Use Content-Disposition","අන්තර්ගතය-ඉවතලීම භාවිතා කරන්න"
"Disable Guest Checkout if Cart Contains Downloadable Items","කරත්තයේ බාගත හැකි අයිතම තිබේ නම් අමුත්තන්ගේ පිටවීම අබල කරන්න"
"Guest checkout will only work with shareable.","අමුත්තන් පිටවීම බෙදාගත හැකි සමඟ පමණක් ක්‍රියා කරයි."
"Product type of the product must be 'downloadable'.","Product type of the product must be 'downloadable'."
"The product needs to be the downloadable type. Verify the product and try again.","නිෂ්පාදනය බාගත කළ හැකි වර්ගය විය යුතුය. නිෂ්පාදනය සත්‍යාපනය කර නැවත උත්සාහ කරන්න."
"The link information is invalid. Verify the link and try again.","සබැඳි තොරතුරු වලංගු නැත. සබැඳිය තහවුරු කර නැවත උත්සාහ කරන්න."
"The link type is invalid. Verify and try again.","සබැඳි වර්ගය වලංගු නැත. තහවුරු කර නැවත උත්සාහ කරන්න."
"The link title is empty. Enter the link title and try again.","සබැඳි මාතෘකාව හිස් ය. සබැඳි මාතෘකාව ඇතුළත් කර නැවත උත්සාහ කරන්න."
"No downloadable link with the provided ID was found. Verify the ID and try again.","සපයා ඇති හැඳුනුම්පත සමඟ බාගත කළ හැකි සබැඳියක් හමු නොවීය. හැඳුනුම්පත තහවුරු කර නැවත උත්සාහ කරන්න."
"The downloadable link isn't related to the product. Verify the link and try again.","බාගත හැකි සබැඳිය නිෂ්පාදනයට සම්බන්ධ නොවේ. සබැඳිය තහවුරු කර නැවත උත්සාහ කරන්න."
"The link with ""%1"" ID can't be deleted.","""%1"" ID සහිත සබැඳිය මැකිය නොහැක."
"The sample information is invalid. Verify the information and try again.","නියැදි තොරතුරු වලංගු නොවේ. තොරතුරු තහවුරු කර නැවත උත්සාහ කරන්න."
"The sample type is invalid. Verify the sample type and try again.","නියැදි වර්ගය වලංගු නොවේ. නියැදි වර්ගය තහවුරු කර නැවත උත්සාහ කරන්න."
"The sample title is empty. Enter the title and try again.","නියැදි මාතෘකාව හිස් ය. මාතෘකාව ඇතුළත් කර නැවත උත්සාහ කරන්න."
