"Page not found.","Sayfa bulunamadı."
"You can't send messages more than %1 times an hour.","Saatte %1'den fazla mesaj gönderemezsiniz."
"The link to a friend was sent.","Bağlantı arkadaşınıza gönderildi."
"We found some problems with the data.","Verilerle ilgili bazı sorunlar bulduk."
"Some emails were not sent.","Bazı mailler gönderilemedi."
"You've met your limit of %1 sends in an hour.","Bir saat içinde %1 gönderim limitini aştın."
"Please enter a sender name.","Lütfen bir gönderici adı girin."
"Invalid Sender Email","Geçersiz gönderici e-postası"
"Please enter a message.","Lütfen bir mesaj girin."
"Please specify at least one recipient.","Lütfen en az bir alıcı belirtin."
"Please enter a correct recipient email address.","Lütfen doğru bir alıcı e-posta adresi girin."
"No more than %1 emails can be sent at a time.","Bir seferde en fazla%1 e-posta gönderilebilir."
"Please define a correct product instance.","Lütfen doğru ürün örneğini tanımlayın."
"Invalid Sender Information","Hatalı Gönderici Bilgisi"
"Please define the correct sender information.","Lütfen doğru gönderici bilgisini tanıımlayınız."
"IP Address","IP Adres"
"Cookie (unsafe)","Cookie (Güvenli Değil)"
"No Product Exception.","No Product Exception."
"No Category Exception.","No Category Exception."
"Some error","Some error"
"Localized Exception.","Localized Exception."
"Exception.","Exception."
"Remove Recipent","Alıcıyı kaldır"
"Remove","Kaldır"
"Name","Adı"
"Email","E-posta"
"* Required Fields","* Zorunlu Alan"
"Sender","Gönderici"
"Message","Mesaj"
"Invitee","Davetli"
"Maximum %1 email addresses allowed.","Maksimum% 1 e-posta adresine izin verilir."
"Add Invitee","Davetli ekle"
"Send Email","E-posta Gönder"
"Back","Geri"
"Welcome, %name","Hoşgeldiniz,:%isim"
"%name,","%isim,"
"%sender_name wants to share this product with you:","% sender_name bu ürünü sizinle paylaşmak istiyor:"
"Message from %sender_name:","Message from %sender_name:"
"Email to a Friend","Arkadaşına Gönder"
"Email Templates","E-posta Şablonları"
"Enabled","Aktif edildi"
"Select Email Template","E-posta Şablonu Seçiniz"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-posta şablonu, ""Varsayılan"" seçeneği seçildiğinde temanın geri düşümü temel alınarak seçildi."
"Allow for Guests","Misafirlere İzin Ver"
"Max Recipients","En fazla Alıcı sayısı"
"Max Products Sent in 1 Hour","1 Saat içinde gönderilecek en fazla ürün sayısı"
"Limit Sending By","Gönderimi limitle"
