"Add New Template","Tambah Template Baru"
"Transactional Emails","Email Transaksional"
"Back","Kembali"
"Reset","Atur ulang"
"Delete Template","Hapus Template"
"Convert to Plain Text","Konversi ke Teks Biasa"
"Return Html Version","Kembalikan Versi Html"
"Preview Template","Pratinjau Template"
"Save Template","Simpan Template"
"Load Template","Memuat Template"
"Edit Email Template","Edit Template Email"
"New Email Template","Template Email Baru"
"Default Config","Konfigurasi default"
"Template Information","Informasi Template"
"Currently Used For","Sekarang Digunakan Untuk"
"Template Name","Nama Template"
"Template Subject","Subjek Template"
"Insert Variable...","Masukkan Variabel..."
"Template Content","Konten Template"
"Template Styles","Gaya Template"
"Preview","Pratinjau"
"Unknown","Tidak dikenal"
"You deleted the email template.","Anda menghapus template email."
"The email template is currently being used.","Template email sekarang sedang digunakan."
"We can't delete email template data right now. Please review log and try again.","We can't delete email template data right now. Please review log and try again."
"We can't find an email template to delete.","We can't find an email template to delete."
"Edit Template","Edit Template"
"Edit System Template","Edit Template Sistem"
"New Template","Template Baru"
"New System Template","Template System Baru"
"Email Templates","Template Email"
"Email Preview","Pratinjau Email"
"An error occurred. The email template can not be opened for preview.","Terjadi Kesalahan. Template email tidak dapat dibuka untuk pratinjau."
"This email template no longer exists.","Template email ini sudah lama tidak tersedia."
"You saved the email template.","Anda menyimpan template email."
"Area is already set","Area is already set"
"Design config must have area and store.","Design config must have area and store."
"Base Unsecure URL","Base Unsecure URL"
"Base Secure URL","Base Secure URL"
"General Contact Name","General Contact Name"
"General Contact Email","General Contact Email"
"Sales Representative Contact Name","Sales Representative Contact Name"
"Sales Representative Contact Email","Sales Representative Contact Email"
"Custom1 Contact Name","Custom1 Contact Name"
"Custom1 Contact Email","Custom1 Contact Email"
"Custom2 Contact Name","Custom2 Contact Name"
"Custom2 Contact Email","Custom2 Contact Email"
"Store Name","Store Name"
"Store Phone Number","Store Phone Number"
"Store Hours","Store Hours"
"Country","Country"
"Region/State","Region/State"
"Zip/Postal Code","Zip/Postal Code"
"City","City"
"Street Address 1","Street Address 1"
"Street Address 2","Street Address 2"
"VAT Number","VAT Number"
"Store Contact Information","Store Contact Information"
"%1","%1"
"Template Variables","Variabel Template"
"Please enter a template name.","Harap masukkan nama template baru."
"Duplicate Of Template Name","Duplikat Dari Nama Template"
"Invalid transactional email code: %1","Tidak valid email transaksional kode: %1"
"Requested invalid store ""%1""","Permintaan toko tidak sah ""%1"""
"""file"" parameter must be specified","""file"" parameter yang harus ditentukan"
"Contents of %s could not be loaded or is empty","Contents of %s could not be loaded or is empty"
"""file"" parameter must be specified and must not be empty","""file"" parameter yang harus ditentukan dan tidak boleh kosong"
"Design params must be set before calling this method","Desain params harus ditetapkan sebelum memanggil metode ini"
"<pre> %1 </pre>","<pre> %1 </pre>"
"CSS inlining error:","CSS inlining kesalahan:"
"Error filtering template: %s","Kesalahan menyaring Template: %s"
"We're sorry, an error has occurred while generating this content.","Kami minta maaf, telah terjadi kesalahan saat membuat konten ini."
"Invalid sender data","Pengirim tidak valid data"
"Title","Judul"
"Load default template","Load default template"
"Template","Template"
"Are you sure you want to strip tags?","Apakah anda yakin anda ingin menghapus tag?"
"Are you sure you want to delete this template?","Apakah Anda yakin akan menghapus template ini?"
"The template did not load. Please review the log for details.","Template tidak beban. Silahkan periksa log untuk rincian."
"Footer","Footer"
"Thank you, %store_name","Terimakasih, %store_name"
"Header","Tajuk"
"Communications","Komunikasi"
"No Templates Found","Tidak Ditemukan Template"
"ID","Nomor"
"Added","Ditambahkan"
"Updated","Diperbarui"
"Subject","Subjek"
"Template Type","Jenis Template"
"Action","Tindakan"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below."
"Logo Image","Gambar Logo"
"Logo Image Alt","Gambar Logo Alt"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Hanya diperlukan jika gambar telah diunggah diatas. Masukkan jumlah piksel, tanpa menambahkan ""px""."
"Logo Width","Lebar Logo"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Yang diperlukan hanya jika gambar telah di-upload di atas. Masukkan gambar dengan ukuran tinggi dalam piksel tanpa menambahkan ""px""."
"Logo Height","Tinggi Logo"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","Email template yang dipilih berdasarkan tema mundur, ketika ""Default"" opsi yang dipilih."
"Header Template","Simpan kepala Template"
"Footer Template","Simpan kaki Template"
"We're sorry, an error has occurred while generating this email.","We're sorry, an error has occurred while generating this email."
"Emails","Emails"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below.","Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below."
"Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px"".","Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px""."
