"Now Shopping by","Sekarang Belanja dengan"
"Previous","Sebelumnya"
"Remove","Menghapus"
"Remove This Item","Hapus Barang Ini"
"Shop By","Belanja dengan"
"Clear All","Bersihkan Semua"
"Shopping Options","Pilihan Belanja"
"Welcome to %store_name","Welcome to %store_name"
"%name,","%nama"
"Welcome to %store_name.","Selamat datang di% store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Untuk masuk ke situs kami, gunakan kredensial ini saat checkout atau di halaman <a href=""%customer_url""> Akun Saya </a>:"
"Email:","E-mail:"
"Password:","Kata sandi:"
"Password you set when creating account","Password yang anda set saat membuat akun"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Lupa kata sandi akun anda? Klik <a href=""%reset_url""> di sini </a> untuk mengatur ulangnya."
"When you sign in to your account, you will be able to:","Ketika anda masuk ke akun anda, anda akan dapat:"
"Quick Checkout","Quick Checkout"
"Proceed through checkout faster","Lanjutkan melalui checkout lebih cepat"
"Order Status","Status pesanan"
"Check the status of orders","Memeriksa keadaan pesanan"
"Manage Addresses","Mengatur Alamat-alamat"
"Store alternative addresses","Store alternative addresses"
"For shipping to multiple family members and friends","For shipping to multiple family members and friends"
"Order History","Riwayat Pesan"
"View past orders","Lihat pesanan terakhir"
"Footer","Footer"
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>About Us</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>Customer Service</a>"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Hours of Operation:<br /><span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order","Memo kredit untuk %store_name pesanan"
"Thank you for your order from %store_name.","Terima kasih atas pesanan anda dari %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","You can check the status of your order by <a href=""%account_url"">logging into your account</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Your Credit Memo #%creditmemo_id for Order #%order_id"
"Billing Info","Informasi Penagihan"
"Shipping Info","Shipping Info"
"Payment Method","Metode pembayaran"
"Shipping Method","Shipping Method"
"Update to your %store_name credit memo","Perbarui ke catatan kredit %store_name anda"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Your order #%increment_id has been updated with a status of <strong>%order_status</strong>."
"Invoice for your %store_name order","Invoice for your %store_name order"
"Your Invoice #%invoice_id for Order #%order_id","Your Invoice #%invoice_id for Order #%order_id"
"Update to your %store_name invoice","Update to your %store_name invoice"
"Your %store_name order confirmation","Your %store_name order confirmation"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Setelah paket anda dikirim, kami akan mengirimkan nomor pelacakan kepada anda."
"Your Order <span class=""no-link"">#%increment_id</span>","Your Order <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Placed on <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Update to your %store_name order"
"Your %store_name order has shipped","Your %store_name order has shipped"
"Your shipping confirmation is below. Thank you again for your business.","Konfirmasi pengiriman anda di bawah. Sekali lagi terima kasih untuk bisnis anda."
"Your Shipment #%shipment_id for Order #%order_id","Your Shipment #%shipment_id for Order #%order_id"
"Update to your %store_name shipment","Update to your %store_name shipment"
"Account Dashboard","Account Dashboard"
"Address Book","Address Book"
"Account Information","Account Information"
"About Us","About Us"
"Customer Service","Customer Service"
"My Account","My Account"
