"Credit card type","סוג כרטיס אשראי"
"CVV result","תוצאת CVV"
"Postcode AVS check","בדיקת מיקוד AVS"
"Address AVS check","בדיקת כתובת AVS"
"Country comparison check","בדיקת השוואה במדינה"
"Risk Score","ציון הסיכון"
"Not supported","אינו נתמך"
"Not checked","לא נבדק"
"Matched","מתאימים"
"Not matched","לא תואם"
"Partially matched","התאמה חלקית"
"No such order id.","לא קיים מזהה להזמנה כזו."
"Your purchase process has been cancelled.","תהליך הרכישה בוטל."
"Something went wrong while processing your order. Please try again later.","משהו השתבש בעת עיבוד הזמנתך. אנא נסה שוב מאוחר יותר."
"Gateway response is not valid.","התגובה מהשירות אינו חוקי."
"Wrong response type","תגובה שגוייה"
"Currency doesn't match.","סוג מטבע אינו תואם."
"Amount doesn't match.","הסכום לא תואם."
"Not supported response.","אין תמיכה לתגובה."
"Gateway processing error.","שגיאה בעימוד מהספק."
"Transaction was not placed.","הטרנזקציה לא בוצעה."
"None","ללא"
"Authorize","אישור"
"Authorize and Capture","אושר ונקלט"
"Refused","סירב"
"Authorised","מורשה"
"Error","שגיאה"
"Captured","נקלט"
"Please click ","נא לחץ "
"here","כאן"
" if you are not redirected automatically."," אם אתה לא מעובר מחדש באופן אוטומטי."
"You will be redirected to the Worldpay website.","המערכת תעביר אותך מחדש לאתר האינטרנט Worldpay."
"Continue to Worldpay","המשך לWorldpay"
"Worldpay","Worldpay"
"Enabled","פעיל"
"Title","כותרת"
"Payment Response Password","סיסמא לתגובת התשלום"
"Remote Admin Installation ID","מספר מזהה למערכת ניהול מרחוק"
"Remote Admin Authorisation Password","סיסמת אישור לניהול מרחוק"
"MD5 Secret for Transactions","הצפנת MD5 עבור טרנזקציות"
"Allow To Edit Contact Information","אפשר עריכת פרטי איש קשר"
"Hide Contact Information","להסתיר פרטי איש קשר"
"Debug","דיבאג"
"Test Mode","מצב בדיקה"
"Payment Action for Test","פעולת תשלום עבור בדיקה"
"Payment Action","פעולת תשלום"
"Payment From Applicable Countries","תשלום ממדינות מאושרות"
"Payment From Specific Countries","תשלום ממדינות ספציפיות"
"Set Order Status to Suspected Fraud for CVV","להגדיר את מצב ההזמנה למצב חשד להונאה עבור CVV"
"Set Order Status to Suspected Fraud for Postcode AVS","להגדיר את מצב ההזמנה לחשד להונאה עבור מיקוד AVS"
"Sort Order","סדר מיון"
"Payment was canceled.","Payment was canceled."
"Your payment has been successfully processed by our shop system.","התשלום שלך נרשם בהצלחה בחנות שלנו."
"Payment was canceled","התשלום בוטל"
"Please ","בבקשה "
"continue shopping","המשך בקנייה"
"Transaction has been canceled","Transaction has been canceled"
"Transaction has been declined","העסקה נדחתה"
"The response type is incorrect. Verify the type and try again.","The response type is incorrect. Verify the type and try again."
