"Wish List","Lista de deseos"
"Wish List Sharing","Compartir lista de deseos"
"My Wish List","Mi lista de deseos"
"%1's Wish List","Lista de deseos de %1"
"Page not found.","Página no encontrada."
"We can't specify a product.","No podemos especificar un producto."
"We can't add the item to Wish List right now: %1.","No se puede añadir el elemento a lista de deseos ahora mismo: %1."
"We can't add the item to Wish List right now.","No se puede añadir el elemento a lista de deseos ahora mismo."
"You added %1 to your shopping cart.","Añadiste %1 a tu cesta."
"This product(s) is out of stock.","Este producto está fuera de stock."
"We can't add the item to the cart right now.","No se puede añadir el producto al carrito de compras ahora mismo."
"We can't load the Wish List item right now.","No se puede cargar la lista de deseos ahora mismo."
"We can't configure the product right now.","No se puede configurar el artículo ahora mismo."
"The requested cart item doesn't exist.","El artículo de carro solicitado no existe."
"%1 has been moved to your wish list.","%1 se ha movido a su lista de deseos."
"We can't move the item to the wish list.","No podemos mover el elemento a la lista de deseos."
"We can't delete the item from Wish List right now because of an error: %1.","No podemos eliminar el elemento de lista de deseos en este momento debido a un error: %1."
"We can't delete the item from the Wish List right now.","No podemos eliminar el elemento de la lista de deseos en este momento."
"Message length must not exceed %1 symbols","Longitud del mensaje no debe superar los %1 símbolos"
"Please enter an email address.","Por favor introduce una dirección de correo."
"This wish list can be shared %1 more times.","Esta lista puede ser compartida %1 veces más."
"Please enter a valid email address.","Por favor, ingrese una dirección de correo electrónico válida."
"Your wish list has been shared.","Su lista de deseos ha sido compartida."
"We can't delete item from Wish List right now.","No podemos eliminar el elemento de la lista de deseos en este momento."
"Can't save description %1","No se puede guardar la descripción %1"
"Can't update wish list","Imposible actualizar la lista de favoritos"
"%1 has been updated in your Wish List.","%1 se ha actualizado en su lista de deseos."
"We can't update your Wish List right now.","No podemos actualizar la lista de deseos en este momento."
"The requested Wish List doesn't exist.","La lista de deseos solicitada no existe."
"We can't create the Wish List right now.","No podemos crear el Wish List en este momento."
"%1 items","%1 artítulos"
"1 item","1 artículo"
"Comment","Comentario"
"Display number of items in wish list","Mostrar número de elementos en lista de deseos"
"Display item quantities","Mostrar las cantidades de artículo"
"An item option with code %1 already exists.","Ya existe una opción de artículo con el código %1."
"We can't specify a wish list.","No podemos especificar una lista de deseos."
"Cannot specify product.","No se pudo especificar artículo."
"Product is not salable.","Producto no es vendible."
"Invalid item option format.","Formato de opción de artículo no válido."
"%1 for ""%2"".","%1 por ""%2""."
"We can't add this item to your shopping cart right now.","No podemos añadir este artículo a su carrito de compras ahora mismo."
"We couldn't add the following product(s) to the shopping cart: %1.","No pudimos añadir los siguientes productos al carrito de compras: %1."
"We can't update the Wish List right now.","No podemos actualizar la lista de deseos en este momento."
"%1 product(s) have been added to shopping cart: %2.","%1 producto (s) se han agregado al carrito de compras: %2."
"Comment:","Comentarios:"
