"Subscription status","Status langganan"
"Sorry, there has been an error processing your request. Please try again later.","Maaf, telah terjadi kesalahan saat memproses permintaan Anda. Silakan coba lagi nanti."
"Sorry, there was an error processing your registration request to Magento Analytics. Please try again later.","Sorry, there was an error processing your registration request to Magento Analytics. Please try again later."
"Error occurred during postponement notification","Error occurred during postponement notification"
"Time value has an unsupported format","Nilai waktu memiliki format yang tidak didukung"
"Cron settings can't be saved","Setelan cron tidak dapat disimpan"
"There was an error save new configuration value.","Terjadi kesalahan saat menyimpan nilai konfigurasi baru."
"Please select an industry.","Please select an industry."
"--Please Select--","--Silahkan pilih--"
"Command %1"" was not found.""","Command %1"" was not found."""
"Input data must be string or convertible into string.","Input data harus berupa string atau convertible menjadi string."
"Input data must be non-empty string.","Data masukan harus berupa string yang tidak kosong."
"Not valid cipher method.","Metode cipher tidak valid."
"Encryption key can't be empty.","Kunci enkripsi tidak boleh kosong."
"Source ""%1"" is not exist","Sumber ""%1"" tidak ada"
"These arguments can't be empty ""%1""","Argumen ini tidak boleh kosong ""%1"""
"Cannot find predefined integration user!","Tidak dapat menemukan pengguna integrasi yang telah ditentukan sebelumnya!"
"File is not ready yet.","File belum siap."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","URL Base Anda telah diubah dan laporan Anda sedang diperbarui. Pelaporan Lanjutan akan tersedia setelah perubahan ini diproses. Silakan coba lagi nanti."
"Failed to synchronize data to the Magento Business Intelligence service. ","Failed to synchronize data to the Magento Business Intelligence service. "
"Retry Synchronization","Retry Synchronization"
"TestMessage","TesPesan"
"Error message","Error message"
"Apps and Games","Aplikasi Dan Game"
"Athletic/Sporting Goods","Barang olahraga/atletik"
"Art and Design","Seni Dan Desain"
"Advanced Reporting","Pelaporan Lanjutan"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Dapatkan wawasan baru dan ambil kendali kinerja bisnis Anda, dengan menggunakan laporan produk, pesanan, dan pelanggan dinamis kami yang disesuaikan dengan data pelanggan Anda."
"View details","View details"
"Go to Advanced Reporting","Buka Pelaporan Lanjutan"
"An error occurred while subscription process.","An error occurred while subscription process."
"Analytics","Analistik"
"API","API"
"Configuration","Konfigurasi"
"Business Intelligence","Intelijen Bisnis"
"BI Essentials","BI Penting"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our
                <a href=""https://magento.com/legal/terms/privacy"">terms and conditions</a>.
                ","This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our
                <a href=""https://magento.com/legal/terms/privacy"">terms and conditions</a>.
                "
"Advanced Reporting Service","Layanan Pelaporan Lanjutan"
"Industry","Industri"
"Time of day to send data","Waktu hari untuk mengirim data"
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Get more insights from Magento Business Intelligence</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">BI Essentials</a> tier.","Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">BI Essentials</a> tier."
"Auto Parts","Bagian otomatis"
"Baby/Children’s Apparel, Gear and Toys","Perlengkapan Bayi/Anak, Gear dan Mainan"
"Beauty and Cosmetics","Kecantikan dan Kosmetik"
"Books, Music and Magazines","Buku, Musik dan Majalah"
"Crafts and Stationery","Kerajinan Tangan dan Alat Tulis"
"Consumer Electronics","Elektronik Konsumen"
"Deal Site","Situs kesepakatan"
"Fashion Apparel and Accessories","Pakaian dan Aksesoris Fashion"
"Food, Beverage and Grocery","Makanan, Minuman dan Kelontong"
"Home Goods and Furniture","Barang rumah dan perabot"
"Home Improvement","Perbaikan rumah"
"Jewelry and Watches","Perhiasan dan Jam"
"Mass Merchant","Mass Merchant"
"Office Supplies","Peralatan Kantor"
"Outdoor and Camping Gear","Outdoor and Camping Gear"
"Pet Goods","Barang hewan"
"Pharma and Medical Devices","Pharma dan Alat Kesehatan"
"Technology B2B","Teknologi B2B"
"Analytics Subscription","Analytics Subscription"
"powered by Magento Business Intelligence","powered by Magento Business Intelligence"
"Are you sure you want to opt out?","Are you sure you want to opt out?"
"Cancel","Cancel"
"Opt out","Opt out"
"<p>Advanced Reporting in included,
                    free of charge, in your Magento software. When you opt out, we collect no product, order, and
                    customer data to generate our dynamic reports.</p><p>To opt in later: You can always turn on Advanced
                    Reporting in you Admin Panel.</p>","<p>Advanced Reporting in included,
                    free of charge, in your Magento software. When you opt out, we collect no product, order, and
                    customer data to generate our dynamic reports.</p><p>To opt in later: You can always turn on Advanced
                    Reporting in you Admin Panel.</p>"
"In order to personalize your Advanced Reporting experience, please select your industry.","Untuk mempersonalisasi pengalaman Pelaporan Lanjutan Anda, pilih industri Anda."
