"Are you sure you want to delete this gift registry?","क्या आप वाकई इस उपहार रजिस्ट्री को हटाना चाहते हैं?"
"Delete Registry","रजिस्ट्री हटाएं"
"Gift Registry Entity","उपहार रजिस्ट्री इकाई"
"Product ID","उत्पाद आइ डि"
"Product","उत्पाद"
"SKU","एसकेयु"
"Price","कीमत"
"Quantity","मात्रा"
"Total","संपूर्ण"
"Add to Gift Registry","उपहार रजिस्ट्री में जोड़ें"
"Are you sure you want to add these products?","क्या आप वाकई इन उत्पादों को जोड़ना चाहते हैं?"
"Update Items and Quantities","आइटम और मात्रा अद्यतन करें"
"ID","आईडी"
"Requested","का अनुरोध किया"
"Fulfilled","पूरा"
"Note","ध्यान दें"
"Action","कार्य"
"Update Quantity","अद्यतन मात्रा"
"Remove Item","वस्तु निकालो"
"Sharing Information","सूचना साझा कर रहे हैं"
"Emails","ईमेल"
"Send From","से भेजा"
"Message","संदेश"
"Share Gift Registry","शेयर उपहार रजिस्ट्री"
"Gift Registry","उपहार रजिस्ट्री"
"Event","प्रतिस्पर्धा"
"Registrants","कुलसचिव"
"Event Date","आयोजन दिनांक"
"Total Items","कुल सामान"
"Remaining","शेष"
"Public","जनता"
"No","नहीं"
"Yes","हाँ"
"Website","वेबसाइट"
"Gift Registry Types","उपहार रजिस्ट्री के प्रकार"
"Add Gift Registry Type","उपहार रजिस्ट्री प्रकार जोड़ें"
"Save","सहेजें"
"If you delete this gift registry type, you also delete customer registries that use this type. Do you want to continue?","यदि आप इस उपहार रजिस्ट्री प्रकार को हटाते हैं, तो आप इस प्रकार का उपयोग करने वाले ग्राहक रजिस्ट्रियों को भी हटा देते हैं। क्या आप जारी रखना चाहते हैं?"
"Delete","हटाना"
"Save and Continue Edit","सहेजें और संपादित करें जारी रखें"
"Edit '%1' Gift Registry Type","'%1' उपहार रजिस्ट्री प्रकार संपादित करें"
"New Gift Registry Type","नया उपहार रजिस्ट्री प्रकार"
"Add Attribute","विशेषता जोड़ें"
"Delete Attribute","गुण हटाएं"
"Use Default Value","डिफ़ॉल्ट मान का उपयोग करें"
"Short","कम"
"Medium","मध्यम"
"Long","लंबा"
"Full","पूर्ण"
"Add New Option","नया विकल्प जोड़ें"
"Delete Option","हटाएं विकल्प"
"General Information","सामान्य जानकारी"
"Code","कोड"
"Label","लेबल"
"Sort Order","क्रमबद्ध आदेश"
"Is Listed","सूचिबद्ध है"
"Attributes","गुण"
"[GLOBAL]","[वैश्विक]"
"[WEBSITE]","[वेबसाइट]"
"[STORE VIEW]","[स्टोर देखें]"
"None","कोई नहीं"
"New Address","नया पता"
"Edit Gift Registry","उपहार रजिस्ट्री संपादित करें"
"Create Gift Registry","उपहार रजिस्ट्री बनाएँ"
"State/Province","राज्य / प्रांत"
"Please select a region, state or province","कृपया एक क्षेत्र, राज्य या प्रांत चुनें"
"Please Select","कृपया चुने"
"View Gift Registry %1","उपहार रजिस्ट्री %1 देखें"
"Share '%1' Gift Registry","शेयर '%1' उपहार रजिस्ट्री"
"-- Please select --","-- कृपया चुने --"
"From","से"
"To","सेवा"
"Gift Registry Search","उपहार रजिस्ट्री खोज"
"Select Search Type","खोज प्रकार चुनें"
"Registrant","रजिस्ट्रार"
"Registry owner","रजिस्ट्री मालिक"
"Please correct the  gift registry ID.","कृपया उपहार रजिस्ट्री आईडी को सही करें।"
"Please correct the gift registry entity.","कृपया उपहार रजिस्ट्री इकाई को सही करें।"
"Shopping cart items have been added to gift registry.","शॉपिंग कार्ट आइटम को उपहार रजिस्ट्री में जोड़ा गया है।"
"Virtual, Downloadable, and virtual Gift Card products cannot be added to gift registries.","वर्चुअल, डाउनलोड करने योग्य और वर्चुअल गिफ्ट कार्ड उत्पादों को उपहार रजिस्ट्रियों में नहीं जोड़ा जा सकता है।"
"We can't add shopping cart items to the gift registry right now.","हम उपहार कार्ट रजिस्ट्री में अभी शॉपिंग कार्ट आइटम नहीं जोड़ सकते हैं।"
"You deleted this gift registry entity.","आपने यह उपहार रजिस्ट्री इकाई को हटा दिया है।"
"We couldn't delete this gift registry entity.","हम इस उपहार रजिस्ट्री इकाई को हटा नहीं सके।"
"Customers","ग्राहकों"
"Edit '%1' Gift Registry","'%1' उपहार रजिस्ट्री संपादित करें"
"Something went wrong while editing the gift registry.","उपहार की रजिस्ट्री संपादित करते समय कुछ गड़बड़ हो गई।"
"Please enter at least one email address.","कृपया कम से कम एक ईमेल पता दर्ज करें।"
"%1 email(s) were sent.","%1 ईमेल (ईमेल) भेजे गए थे।"
"We couldn't send '%1 of %2 emails.","हम %2 ईमेल का '%1' नहीं भेज सके।"
"You updated this gift registry.","आपने इस उपहार रजिस्ट्री को अद्यतन किया।"
"We can't update these gift registry items right now.","हम अभी इन उपहार रजिस्ट्री वस्तुओं को अपडेट नहीं कर सकते हैं।"
"You deleted the gift registry type.","आपने उपहार रजिस्ट्री प्रकार को हटा दिया।"
"We couldn't delete this gift registry type.","हम इस उपहार रजिस्ट्री प्रकार को हटा नहीं सके।"
"%1","%1"
"Edit Type","प्रकार संपादित करें"
"New Type","नया प्रकार"
"You saved the gift registry type.","आपने उपहार रजिस्ट्री प्रकार को सहेजा है।"
"We can't save this gift registry type right now.","हम इस उपहार रजिस्ट्री प्रकार को अभी नहीं सहेज सकते हैं।"
"Page not found.","पृष्ठ नहीं मिला।"
"Please correct the gift registry ID.","कृपया उपहार रजिस्ट्री आईडी को सही करें।"
"%1 item(s) have been added to the gift registry.","%1 आइटम (ओं) को उपहार रजिस्ट्री में जोड़ा गया है।"
