"Edit Event","ویرایش رویداد"
"Add Event","افزودن رویداد"
"Events","رویدادها"
"Add Catalog Event","افزودن رویداد کاتالوگ"
"Save and Continue Edit","ذخيره و ادامه ويرايش"
"Back to Category","بازگشت به دسته"
"Edit Catalog Event","ویرایش رویداد کاتالوگ"
"Catalog Event Information","اطلاعات رویداد کاتالوگ"
"Category","دسته بندی"
"Start Date","تاریخ شروع"
"End Date","تاریخ پایان"
"Image","تصویر"
"Sort Order","ترتيب سفارش"
"Upcoming","آینده"
"Open","باز"
"Closed","بسته"
"Display Countdown Ticker On","نمایش تایمر شمارش معکوس"
"Category Page","صفحه دسته بندی"
"Product Page","صفحه محصول"
"Status","وضعيت"
"[GLOBAL]","[سراسری]"
"[WEBSITE]","[وب‌سایت]"
"[STORE VIEW]","[مشاهده فروشگاه]"
"Coming Soon","به زودی باز می گردیم"
"Sale Ends In","تاریخ پایان حراج"
"Catalog","فهرست"
"You deleted the event.","رویداد را حذف کردید."
"New Event","رویداد جدید"
"Default Values","مقادیر پیش فرض"
"Something went wrong while saving this event.","در هنگام ذخیره کردن این رویداد، خطایی رخ داده است."
"We did not upload your image.","ما تصویر شما را آپلود نکردیم."
"You saved the event.","رویداد را ذخیره کردید."
"%1 is required.","%1 الزامی است."
"Please make sure the end date follows the start date.","لطفا مطمئن شوید که تاریخ پایان با تاریخ شروع مطابقت دارد."
"Event for selected category","رویداد برای دسته بندی انتخاب شده"
"Lister Block","Lister Block"
"This product is no longer on sale.","این محصول دیگر در حراج نیست."
"Some of these products can no longer be sold.","بعضی از این محصولات دیگر فروخته نمی شوند."
"Select Category","انتخاب دسته بندی"
"Use Default Value","از مقدار پیش فرض استفاده کنید"
"Days","روزها"
"Hrs","ساعت ها"
"Mins","دقیقه ها"
"Sec","ثانیه"
"Preview Sale","پیش نمایش حراج"
"Go To Sale","برو به حراج"
"View Sale","مشاهده حراج"
"Previous","قبلی"
"Next","بعدی"
"Catalog Events","رویدادهای کاتالوگ"
"Enable Catalog Events Functionality","فعالسازی عملکرد رویداد کاتالوگ"
"Enable Catalog Event Widget on Storefront","فعالسازی ویجت رویداد کاتالوگ در نمای فروشگاه"
"Number of Events to be Displayed in Event Slider Widget","تعداد رویدادهایی که در ویجت اسلایدر رویداد نمایش داده می شود"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","شما می توانید این مقدار پیش فرض را در CMS با استفاده از متغیر limit = ""x"" بازنویسی کنید. اگر هیچ محدودیتی وجود ندارد آن را خالی بگذارید."
"Events to Scroll per Click in Event Slider Widget","رویدادها برای ردیابی در هر کلیک در ویجت اسلایدر رویداد"
"You can override this default value in CMS using the limit=""x"" variable.","شما می توانید این مقدار پیش فرض را در CMS با استفاده از متغیر limit = ""x"" بازنویسی کنید."
"Catalog Events Carousel","Carousel رویدادهای کاتالوگ"
"List all open Catalog Events as a Paginated Carousel","همه رویدادهای کاتالوگ باز را به عنوان یک Carousel لیست کنید"
"Frame Size","اندازه قاب"
"Number of Items to display at once","تعداد موارد برای نمایش یکباره"
"Scroll","اسکرول"
"Number of Items to scroll per click","تعداد موارد برای اسکرول در هر کلیک"
"Block Custom Width","پهنای سفارشی بلوک"
"If empty, we'll automatically set the width value in pixels.","اگر خالی باشد، ما به طور خودکار مقدار پهنا را براساس پیکسل تنظیم می کنیم."
"Catalog Events Carousel Default Template","قالب پیش فرض Carousel رویداد کاتالوگ"
"ID","شناسه"
"Category ID","شناسه دسته بندی"
"Start","شروع"
"End","پایان"
"Countdown Ticker","تایمر شمارش معکوس"
"Action","اقدام"
"Edit","ويرايش"
"Edit Event...","Edit Event..."
"Add Event...","Add Event..."
