"Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds %1 %2.","Одабери ово да дозволиш ДХЛ-у да оптимизује дељење трошкова доставе ако поруџбина прелази %1 %2."
"Wrong Content Type","Погрешан Тип Садржаја"
"Pounds","Фунте"
"Kilograms","Килограми"
"Inches","Инче"
"Centimeters","Центриметри"
"inch","инч"
"cm","cm"
"Height","Висина"
"Depth","Дубина"
"Width","Ширина"
"Regular","Стандардно"
"Specific","Одређено"
"Easy shop","Лака куповина"
"Sprintline","Sprintline"
"Secureline","Secureline"
"Express easy","Изрази лако"
"Europack","Europack"
"Break bulk express","Експресна достава"
"Medical express","Експресно медицинска"
"Express worldwide","Експрес широм света"
"Express 9:00","Еxпрес 9:00"
"Express 10:30","Еxпрес 10:30"
"Domestic economy select","Домаћа економска одабрана"
"Economy select","Економска одабрана"
"Domestic express 9:00","Домаћа брза 9:00"
"Domestic express","Домаћа брза"
"Others","Остало"
"Globalmail business","Globalmail business"
"Same day","Истог дана"
"Express 12:00","Еxпрес 12:00"
"Express envelope","Брза пошиљка"
"Domestic express 12:00","Домаћа брза 12:00"
"Jetline","Авионска"
"Freight worldwide","Теретна возила широм света"
"Jumbo box","Велика кутија"
"DHL service is not available at %s date","ДХЛ сервис није доступан %с датума"
"The response is in wrong format.","Одговор је у погрешном формату."
"We had to skip DHL method %1 because we couldn't find exchange rate %2 (Base Currency).","We had to skip DHL method %1 because we couldn't find exchange rate %2 (Base Currency)."
"Zero shipping charge for '%1'","Нула накнада за испоруку '%1'"
"DHL","DHL"
"Cannot identify measure unit for %1","Не можемо идентификовати мерну јединицу за %1"
"Cannot identify weight unit for %1","Не можемо идентификовати јединицу за тежину за %1"
"There is no items in this order","Нема ставки у овој поруџбини"
"Please specify origin country.","Молимо дефинишите земљу порекла."
"Documents","Документа"
"Non Documents","Без Докумената"
"Height, width and length should be equal or greater than %1","Висина, ширина и дужина треба да буду веће или једнаке од %1"
"Wrong Region","Wrong Region"
"Unable to retrieve tracking","Није могуће преузети за праћење"
"Response is in the wrong format","Одговор је у погрешном формату"
"Error #%1 : %2","Грешка #%1 : %2"
"No packages for request","Нема паковања за захтев"
"Unable to retrieve shipping label","Није могуц́е преузети етикету за отпрему"
"Non documents","Без докумената"
"None","Ништа"
"Security validation of XML document has been failed.","Сецуритy валидатион оф XМЛ доцумент је фаилед."
"The response is in the wrong format","The response is in the wrong format"
"Field ","Поље"
" is required.","је обавезно."
"Enabled for Checkout","Омогући за Плаћање"
"Gateway URL","УРЛ адреса мрежног пролаза"
"Title","Наслов"
"Access ID","Приступни ИД"
"Password","Лозинка"
"Account Number","Број Налога"
"Content Type","Тип садржаја"
"Calculate Handling Fee","Израчунајте накнаду за руковање"
"Handling Applied","Примењено руковање"
"""Per Order"" allows a single handling fee for the entire order. ""Per Package"" allows an individual handling fee for each package.","""Пер Ордер"" омогуц́ава једну накнаду за руковање за целокупну поруџбину. ""Пер Пацкаге"" омогуц́ава појединачну накнаду за руковање за сваки пакет."
"Handling Fee","Трошкови обраде"
"Divide Order Weight","Поделите тежину наруџбе"
"Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds 70 kg.","Одабери ово да дозволиш ДХЛ-у да оптимизује дељење трошкова доставе ако поруџбина прелази 70 кг."
"Weight Unit","Јединица Тежине"
"Size","Величина"
"Allowed Methods","Дозвољене Методе"
"Displayed Error Message","Приказана Порука о Грешци"
"Free Method","Бесплатна Метода"
"Enable Free Shipping Threshold","Омогуц́ите праг бесплатне испоруке"
"Free Shipping Amount Threshold","Праг бесплатне испоруке"
"Ship to Applicable Countries","Достави у Одговарајућу Државу"
"Ship to Specific Countries","Достави у Наведену Државу"
"Show Method if Not Applicable","Прикажи Метод ако Није Применљиво"
"Sort Order","Редослед поруџбина"
"Debug","Отклањање грешака"
"Break bulk economy","Break bulk economy"
"Customer services","Купац сервицес"
"Please, specify origin country","Please, specify origin country"
"Ready time","Време Припреме"
"Package ready time after order submission (in hours)","Време за паковање након слања наруџбе (у сатима)"
"The security validation of the XML document has failed.","Сигурносна валидација за XМЛ документ није успео."
"Content Type (Non Domestic)","Садржај Тип (Нон Доместиц)"
"Documents Allowed Methods","Documents Allowed Methods"
"Non Documents Allowed Methods","Non Documents Allowed Methods"
