"Add Tax","Dodaj podatek"
"Delete Tax","Usuń tag"
"All Websites","Wszystkie witryny"
"FPT","FPT"
"You must set unique country-state combinations within the same fixed product tax","You must set unique country-state combinations within the same fixed product tax"
"Including FPT only","Wliczając tylko FPT"
"Including FPT and FPT description","Włączając FPT i opis FPT"
"Excluding FPT. Including FPT description and final price","Wyłączając FPT. W tym opis FPT i ostateczna cena"
"Excluding FPT","Wyłączając FPT"
"label_value","label_value"
"frontend_label","frontend_label"
"Fixed Product Tax","Ustalony podatek produktu"
"Country/State","Kraj/Województwo"
"Tax","Podatek"
"Website","Witryna"
"Action","Operacja"
"Excl. Tax","Bez podatku"
"Total","Łącznie"
"Incl. Tax","Z podatkiem"
"Total Incl. Tax","Razem z podatkiem"
"Final Price","Cena końcowa"
"Fixed Product Taxes","Ustalone podatki produktu"
"Enable FPT","Włącz FPT"
"Display Prices In Product Lists","Wyświetlaj ceny na listach produktów"
"Display Prices On Product View Page","Wyświetlaj ceny na karcie produktu"
"Display Prices In Sales Modules","Wyświetlaj ceny w modułach sprzedaży"
"Display Prices In Emails","Wyświetlaj ceny w wiadomościach e-mail"
"Apply Tax To FPT","Używaj podatków w FPT"
"Include FPT In Subtotal","Zawrzyj FPT w podsumie"
"We found a duplicate of website, country and state fields for a fixed product tax","We found a duplicate of website, country and state fields for a fixed product tax"
"label_value' 'label_value' 'frontend_label","label_value' 'label_value' 'frontend_label"
"Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.","Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again."
