"Credit card type","Type creditcard"
"CVV result","CVV resultaat"
"Postcode AVS check","Postcode AVS check"
"Address AVS check","Adres AVS controle"
"Country comparison check","Land vergelijking selectievakje"
"Risk Score","Risicoscore"
"Not supported","Niet ondersteund"
"Not checked","Niet gecontroleerd"
"Matched","Overeengekomen"
"Not matched","Niet gevonden"
"Partially matched","Gedeeltelijk overeengekomen"
"No such order id.","Geen dergelijke order-id."
"Your purchase process has been cancelled.","Je aankoopproces is geannuleerd."
"Something went wrong while processing your order. Please try again later.","Er ging iets mis tijdens het verwerken van je bestelling. Probeer het later nog eens."
"Gateway response is not valid.","Gateway antwoord is niet geldig."
"Wrong response type","Verkeerd antwoord type"
"Currency doesn't match.","Valuta komt niet overeen."
"Amount doesn't match.","Bedrag komt niet overeen."
"Not supported response.","Antwoord wordt niet ondersteund."
"Gateway processing error.","Gateway verwerkingsfout."
"Transaction was not placed.","Transactie werd niet geplaatst."
"None","Geen"
"Authorize","Autoriseer"
"Authorize and Capture","Autoriseren en vastleggen"
"Refused","Geweigerd"
"Authorised","Toegestaan"
"Error","Foutmelding"
"Captured","Gevangen"
"Please click ","Klik alsjeblieft "
"here","hier"
" if you are not redirected automatically."," indien je niet automatisch wordt doorgestuurd."
"You will be redirected to the Worldpay website.","Je wordt doorverwezen naar de website van Worldpay."
"Continue to Worldpay","Ga verder naar Worldpay"
"Worldpay","WorldPay"
"Enabled","Ingeschakeld"
"Title","Titel"
"Payment Response Password","Betalingsreactie wachtwoord"
"Remote Admin Installation ID","Extern admin installatie ID"
"Remote Admin Authorisation Password","Extern admin authorizatie wachtwoord"
"MD5 Secret for Transactions","MD5 Geheim voor transacties"
"Allow To Edit Contact Information","Toestaan om contact informatie te bewerken"
"Hide Contact Information","Verberg Contact informatie"
"Debug","Fouten opsporen"
"Test Mode","Test Modus"
"Payment Action for Test","Betalingsactie voor test"
"Payment Action","Betaling"
"Payment From Applicable Countries","Betaling van Geëigende Landen"
"Payment From Specific Countries","Betaling uit bepaalde landen"
"Set Order Status to Suspected Fraud for CVV","Zet bestellingstatus op verdenking van fraude voor CVV"
"Set Order Status to Suspected Fraud for Postcode AVS","Zet bestellingstatus op verdenking van fraude voor postcode AVS"
"Sort Order","Sorteervolgorde"
"Payment was canceled.","Betaling is geannuleerd."
"Your payment has been successfully processed by our shop system.","Je betaling is succesvol verwerkt door ons winkel-systeem."
"Payment was canceled","Betaling is geannuleerd"
"Please ","Alstublieft "
"continue shopping","doorgaan met winkelen"
"Transaction has been canceled","Transactie is geannuleerd"
"Transaction has been declined","Transactie afgewezen"
"The response type is incorrect. Verify the type and try again.","Het type reactie is incorrect. Controleer het type en probeer het opnieuw."
