"Partners","Partner"
"Magento Marketplace","Magento Marktplatz"
"Platinum Partners","Platin-Partner"
"Representing Magento's highest level of partner engagement, Magento Platinum Partners have established themselves as leaders and innovators of key products and services designed to help merchants and brands grow their business. Magento reserves the Platinum level for select trusted partners that are committed to offering integrations of commerce features, functions, and tools, as well as back-end systems and operations, to extend and enhance the power of the Magento commerce platform.","Stellvertretend für Magento's Partner Engagement auf höchstem Niveau, Magento Platinum Partners haben festgestellt, als die Führer und Innovatoren der wichtigsten Produkte und Dienstleistungen, Händlern und Marken ihre Geschäfte zu helfen. Magento behält sich das Platinum Niveau für ausgewählte vertrauenswürdige Partner, die die Integrationen von Commerce-Funktionen, Funktionen und Werkzeuge, sowie auch Back-End-Systeme und Operationen bieten, um die Macht der Magento Commerce-Plattform zu erweitern und zu verbessern."
"Featured Platinum Partners","Vorgestellte Platinum Partner"
"Partner search","Partnersuche"
"Magento has a thriving ecosystem of technology partners to help merchants and brands deliver the best possible customer experiences. They are recognized as experts in eCommerce, search, email marketing, payments, tax, fraud, optimization and analytics, fulfillment, and more. Visit the Magento Partner Directory to see all of our trusted partners.","Magento hat ein blühendes Ökosystem von Technologiepartnern, um Händler und Marken zu helfen, die besten Kunden Erfahrungen liefern zu können. Sie sind anerkannte Experten im e-Commerce-, Suche, E-Mail-Marketing, Zahlungen, Steuer, Betrug, Optimierung und Analyse, Erfüllung und mehr. Besuchen Sie die Magento-Partner-Verzeichnis, um aller unserer bewährten Partner anzusehen."
"More Partners","Weitere Partner"
"Extensions and Themes are an essential component of the Magento Ecosystem. Please visit the Magento Marketplace to see the latest innovations that developers have created to enhance your Magento Store.","Erweiterungen und Themes sind ein wesentlicher Bestandteil des Magento Ökosystems. Bitte besuchen Sie die Magento Marketplace, um die neuesten Innovationen zu sehen, die Entwickler erstellt haben, um Ihren Magento Store zu verbessern."
"Visit Magento Marketplaces","Besuchen Sie Magento Marketplaces"
"Read More","Lesen Sie mehr"
"Partner Page","Partnerseite"
"No partners were found","Es wurden keine Partner gefunden"
"Find Partners & Extensions","Find Partners & Extensions"
