"Please specify a website.","Παρακαλώ καθορίστε μια ιστοσελίδα."
"Please specify an email.","Παρακαλώ καθορίστε ένα email."
"We found an invalid value in a website column.","Βρήκαμε μια μη έγκυρη τιμή σε μια στήλη ιστότοπου."
"Please enter a valid email.","Παρακαλώ εισάγετε ένα έγκυρο email."
"Please make sure attribute ""%s"" is not empty.","Βεβαιωθείτε ότι το χαρακτηριστικό ""%s"" δεν είναι κενό."
"We can't find a customer who matches this email and website code.","Δεν βρέθηκε πελάτης που ταιριάζει με αυτό το email και τον κώδικα ιστοσελίδας."
"Customer address id column is not specified","Δεν έχει καθοριστεί η στήλη id διεύθυνσης πελάτη"
"We can't find that customer address.","Δεν μπορούμε να βρούμε αυτή τη διεύθυνση του πελάτη."
"Please enter a valid region.","Παρακαλώ εισάγετε μια έγκυρη περιοχή."
"We found another row with this email, website and address ID combination.","Βρήκαμε μια άλλη σειρά με αυτό το συνδυασμό διεύθυνσης email, ιστοσελίδας και id διεύθυνσης."
"This email is found more than once in the import file.","Αυτό το email βρέθηκε περισσότερες από μία φορές στο αρχείο εισαγωγής."
"Orphan rows that will be skipped due default row errors","Ορφανές γραμμές που θα παραλειφθούν λόγω προεπιλεγμένης σειράς σφαλμάτων"
"Invalid value in Store column (store does not exists?)","Μη έγκυρη τιμή στη στήλη Κατάστημα (το κατάστημα δεν υπάρχει;)"
"We can't find that email and website combination.","Δεν βρέθηκε ο συνδυασμός email και ιστοσελίδας."
"Please enter a password with a valid length.","Παρακαλώ εισάγετε έναν κωδικό πρόσβασης με ένα έγκυρο μήκος."
"CSV","CSV"
"Excel XML","Excel XML"
"An email wasn't specified. Enter the email and try again.","Το email δεν καθορίστηκε. Εισάγετε το email και δοκιμάστε ξανά."
