"Gift Card Information","Geschenk-Karteninformationen"
"Virtual","Virtuell"
"Physical","Physisch"
"Combined","Kombiniert"
"Add Amount","Betrag hinzufügen"
"All Websites","Alle Webseiten"
"Gift Card Type","Geschenkkartentyp"
"Gift Card Sender","Geschenkkarte Sender"
"Gift Card Recipient","Geschenkkarte Empfänger"
"Gift Card Message","Geschenkkarten-Nachricht"
"Gift Card Lifetime","Geschenkkarte Gültigkeitsdauer"
"Yes","Ja"
"No","Nein"
"Gift Card Is Redeemable","Geschenkgutschein ist einlösbar"
"We cannot create this gift card.","Gutschein kann nicht erstellt werden."
"N/A","Keine Angabe"
"Gift Card Accounts","Geschenkkartenkonten"
"Duplicate amount found.","Betrag wurde doppelt gefunden."
"Something went wrong while preparing the gift card.","Beim Vorbereiten der Geschenkkarte ist etwas schiefgelaufen."
"Please specify a gift card amount.","Bitte geben Sie einen Betrag für die Geschenkkarte ein."
"Please specify all the required information.","Geben Sie bitte die erforderlichen Informationen ein."
"Gift Card max amount is %1","Maximalbetrag für Geschenkkarte ist %1"
"Gift Card min amount is %1","Minimalbetrag für Geschenkkarte ist %1"
"Please specify a recipient name.","Bitte geben Sie den Empfängernamen an."
"Please specify a sender name.","Bitte geben Sie den Absendernamen an."
"Please specify a recipient email.","Bitte geben Sie die Empfänger-E-Mail-Adresse an."
"Please specify a sender email.","Bitte geben Sie die Absender-E-Mail-Adresse an."
"Ordered","Bestellt"
"Invoiced","In Rechnung gestellt"
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Einige Geschenkkartenkontos wurden nicht ordnungsgemäß erstellt. Sie können Geschenkkartenkonten <a href=""%1""> hier</a> manuell erstellen."
"Amount","Betrag"
"To","Bis"
"Treat Balance as Store Credit","Kontostand wie Shop-Guthaben behandeln"
"[GLOBAL]","[GLOBAL]"
"Use Config Settings","Konfigurationseinstellungen verwenden"
"Lifetime (days)","Gültigkeitsdauer (Tage)"
"Allow Message","Mitteilung erlauben"
"[STORE VIEW]","[STORE VIEW]"
"Email Template","E-Mail-Vorlage"
"All Websites [%1]","Alle Websites [%1]"
"%1 [%2]","%1 [%2]"
"Availability:","Verfügbarkeit:"
"Out of stock","Nicht lieferbar"
"Choose an Amount...","Wählen Sie einen Betrag..."
"Other Amount...","Anderer Betrag..."
"Amount in %1","Betrag in %1"
"Minimum","Minimum"
"Maximum","Maximum"
"Sender Name","Absendername"
"Sender Email","Absender E-Mail"
"Recipient Name","Name des Empfängers"
"Recipient Email","Empfänger-Email"
"Message","Nachricht"
"Maximum length of the message is %1 characters.","Die maximale Nachrichtenlänge beträgt %1 Zeichen."
"Quantity","Menge"
"Website","Webseite"
"Action","Aktion"
"Delete Amount","Betrag löschen"
"Delete","Löschen"
"From","Von"
"Minimum: %1","Mindestens: %1"
"Maximum: %1","Maximal: %1"
"Availability","Verfügbarkeit"
"In stock","Auf Lager"
"You've been sent a gift from %store_name","Sie haben ein Geschenk von %store_name erhalten"
"%name,","%name,"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender hat Ihnen eine Geschenkkarte für den Einsatz bei <a href=""%store_url""> %store_name</a> geschickt und sie ist jetzt bereit, für Einkäufe verwendet zu werden."
"Gift Card Codes:","Gutscheincodes:"
"Gift Card Code:","Gutscheincode:"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Jede Karte hat ein Guthaben von %balance, welches bei <a href=""%store_url"">%store_name</a> verwendet werden kann."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Die Karte hat ein Guthaben von %balance, welches bei <a href=""%store_url"">%store_name</a> verwendet werden kann."
"Click on the code(s) above to redeem them into Store Credit.","Klicken Sie auf den/die Codes oben, um sie in Shop-Guthaben einzulösen."
"Message from %sender_name:","Nachricht von %sender_name:"
"Gift Cards","Geschenkkarten"
"Gift Card Email Settings","Geschenkkarte E-Mail-Einstellungen"
"Gift Card Notification Email Sender","Geschenkkarte Benachrichtigung-E-Mail-Absender"
"Gift Card Notification Email Template","Geschenkkarte - Mitteilungs-E-Mail-Vorlage"
"Gift Card General Settings","Geschenkkarten - Allgemeine Einstellungen"
"Redeemable","Einlösbar"
"If empty no expiration.","Wenn leer, kein Ablaufdatum"
"Allow Gift Message","Geschenknachricht erlauben"
"Gift Message Maximum Length","Maximale Länge für Geschenknachrichten"
"Generate Gift Card Account when Order Item is","Geschenkkartenkonto erstellen, wenn Auftragsposition ist"
"Messaging and Lifetime","Mitteilung und Gültigkeitsdauer"
"Amount should be specified or Open Amount should be allowed","Betrag sollte angegeben oder offener Betrag sollte erlaubt sein"
