"Add New Template","Додајте нови шаблон"
"Transactional Emails","Трансактивни Емаилови"
"Back","Назад"
"Reset","Ресетовати"
"Delete Template","Обриши шаблон"
"Convert to Plain Text","Пребаци у обичан текст"
"Return Html Version","Врати верзију Хтмл-а"
"Preview Template","Преглед шаблона"
"Save Template","Сними шаблон"
"Load Template","Учитај шаблон"
"Edit Email Template","Измени шаблон е-поште"
"New Email Template","Нови шаблон е-поште"
"Default Config","Подразумевана конфигурација"
"Template Information","Информације о шаблону"
"Currently Used For","Тренутно коришћен за"
"Template Name","Назив шаблона"
"Template Subject","Предмет шаблона"
"Insert Variable...","Убаци променљиву..."
"Template Content","Садржај шаблона"
"Template Styles","Стилови шаблона"
"Preview","Преглед"
"Unknown","Непознато"
"You deleted the email template.","Обрисали сте шаблон е-поште."
"The email template is currently being used.","Тренутно се користи шаблон е-поште."
"We can't delete email template data right now. Please review log and try again.","Wе цан'т делете емаил темплате дата ригхт ноw. Плеасе ревиеw лог анд покушајте поново."
"We can't find an email template to delete.","We can't find an email template to delete."
"Edit Template","Измени шаблон"
"Edit System Template","Измени Систем Шаблона"
"New Template","Нови шаблон"
"New System Template","Нови Системски Шаблон"
"Email Templates","Емаил шаблони"
"Email Preview","Преглед Мејла"
"An error occurred. The email template can not be opened for preview.","Дошло је до грешке. Шаблон мејла не може бити отворен за преглед."
"This email template no longer exists.","Овај шаблон мејла више не постоји."
"You saved the email template.","Сачували сте шаблон мејла."
"Area is already set","Area is already set"
"Design config must have area and store.","Дизајн цонфиг муст хаве ареа анд сторе."
"Base Unsecure URL","Основни небезбедни УРЛ"
"Base Secure URL","Основни безбедни УРЛ"
"General Contact Name","Опште Цонтацт Назив"
"General Contact Email","Опште Цонтацт Е-пошта"
"Sales Representative Contact Name","Име продајног представника"
"Sales Representative Contact Email","Емаил продајног представника"
"Custom1 Contact Name","Цустом1 Цонтацт Назив"
"Custom1 Contact Email","Цустом1 Цонтацт Е-пошта"
"Custom2 Contact Name","Цустом2 Цонтацт Назив"
"Custom2 Contact Email","Цустом2 Цонтацт Е-пошта"
"Store Name","Име продавнице"
"Store Phone Number","Број телефона у продавница"
"Store Hours","Радно време продавнице"
"Country","Држава"
"Region/State","Регион/држава"
"Zip/Postal Code","Поштански број"
"City","Град"
"Street Address 1","Улица 1"
"Street Address 2","Улица 2"
"VAT Number","ПДВ број"
"Store Contact Information","Контакт информације продавнице"
"%1","%1"
"Template Variables","Варијације Шаблона"
"Please enter a template name.","Молимо унесите назив шаблона."
"Duplicate Of Template Name","Дупликат назива предлошка"
"Invalid transactional email code: %1","Неважец́и код за мејл трансакције: %1"
"Requested invalid store ""%1""","Тражена неважећа продавница ""%1"""
"""file"" parameter must be specified","""филе"" параметар мора бити дефинисан"
"Contents of %s could not be loaded or is empty","Садржаји %с не могу бити учитани или су празни"
"""file"" parameter must be specified and must not be empty","""филе"" параметар мора бити дефинисан и не може бити празан"
"Design params must be set before calling this method","Прије позивања ове методе морају се поставити параметри дизајна"
"<pre> %1 </pre>","<pre> %1 </pre>"
"CSS inlining error:","ЦСС грешка у линку:"
"Error filtering template: %s","Грешка филтрирања предлошка: %с"
"We're sorry, an error has occurred while generating this content.","Жао нам је, дошло је до грешке током генерисања овог садржаја."
"Invalid sender data","Неважећи пошиљалац података"
"Title","Наслов"
