"Admin Actions Log Archive","Архив на администраторските действия"
"Back","Обратно"
"Log Entry #%1","Регистрационен файл запис #%1"
"Log Entry Details","Данни за записа на регистрационния файл"
"Source Data","Източник на данни"
"Value Before Change","Стойност преди промяната"
"Value After Change","Стойност след промяна"
"No changes","Няма промяна"
"The item was deleted","Елементът е изтрит"
"N/A","Не е достъпно"
"All Users","Всички потребители"
"Admin Actions Log","Регистър на администраторските дейтсвия"
"Admin Actions Archive","Архив на администраторските действия"
"Report","Доклад"
"label","етикет"
"actions' 'label","действия 'етикет"
"%1 & applied","%1 & приложен"
"Tax Rates Import","Данъчни ставки вносни"
"Attributes Updated","Актуализирани атрибути"
"Currency Rates Saved","Записани валутни курсове"
"Cache types: %1 ","Кеш типове: %1 "
"Tax Rates Export","Данъчни ставки за износ
"
"Unknown callback function: %1::%2","Неизвестно обратно извикване: %1::%2"
"You need more permissions to access this.","Трябва разрешение за достъп до това."
"Success","Успех"
"Failure","Недостатъчност"
"Daily","Дневно"
"Weekly","Седмично"
"Monthly","Месечно"
"This user is locked","Този потребител е заключен"
"Admin User Data","Администратор потребителски данни"
"Aggregated Information","Обобщена информация"
"Admin User ID","ИД на потребител администратор"
"Admin User Name","Админ потребителско име"
"IP-Address","IP адрес"
"X-Forwarded For","X-предава за"
"Error Message","Съобщение за грешка"
"Related Changes","Свързани промени"
"Logging","Записване"
"Action Log","Регистър на действията"
"Archive","Архив"
"Action Logs","Регистър на действията"
"Admin Actions Log Archiving","Вход за архивиране на администраторски действия"
"Log Entry Lifetime, Days","Живот на записания регистрационен файл в дни"
"Log Archiving Frequency","Архивиране честотата на регистъра"
"Admin Actions Logging","Регистриране на администраторските действия"
"Enabled Actions","Разрешени действия"
"1","1"
"View","Преглед"
"Save","Запиши"
"Delete","Изтрий"
"Mass Delete","Масово изтриване"
"Export","Експорт"
"Import","Импорт"
"Edit","Редактирай"
"Mass Update","Цялостна актуализация"
"Move","Премести"
"New","Нов"
"Forgot Password","Забравена парола"
"Global Search","Глобално търсене"
"Apply","Приложи"
"Reorder","Поръчай отново"
"Print","Печат"
"Email","Имейл"
"Run","Стартирай"
"Rollback","Връщане към предишна версия"
"Reindex Process","Реиндексиране процес"
"Clean","Изчисти"
"Flush","Флъш"
"Fetch","Донеси"
"Update Payment","Актуализиране на плащане"
"Update State","Актуализация на състоянието"
"Login","Вход"
"Send","Изпращане"
"Create","Създай"
"Catalog Products","Каталог продукти"
"Catalog Categories","Категории на каталога"
"URL Rewrites","URL пренаписва"
"Catalog Search","Каталог, Търсене"
"Catalog Ratings","Каталог рейтинги"
"Catalog Reviews","Каталог отзиви"
"Catalog Attributes","Каталог атрибути"
"Catalog Product Templates","Каталог продуктови шаблони"
"Admin Sign In","Админ вход"
"CMS Pages","CMS страници"
"CMS Blocks","CMS блокове"
"Customers","Клиенти"
"Customer Groups","Клиентски групи"
"Reports","Доклади"
"System Configuration","Системна конфигурация"
"Catalog Price Rules","Правило за цени в каталога"
"Cart Price Rules","Правила за цени в количката"
"Admin My Account","Администратор на моята сметка"
"Newsletter Queue","Бюлетин на изчакване"
"Newsletter Templates","Шаблон бюлетин"
"Newsletter Subscribers","Абонати на бюлетина"
"Sales Orders","Поръчки за продажба"
"Sales Order Status","Статус на поръчка за продажба"
"Sales Invoices","Фактури за продажба"
"Sales Shipments","Експедиционни бележки за продажби"
"Sales Credit Memos","Кредитни известия за продажба"
"Checkout Terms and Conditions","Общи условия"
"Admin Permission Roles","Роли за разрешение на админ"
"Admin Permission Users","Администратор разрешение за потребители"
"Manage Websites","Управление на уеб сайтове"
"Manage Stores","Управление на магазини"
"Manage Store Views","Управление на изгледи на магазини"
"Manage Design","Управление на дизайн"
"Manage Currency Rates","Управление на валутни курсове"
"Transactional Emails","Транзакционни имейли"
"Custom Variables","Персонализирани променливи"
"System Backups","Системен Backup"
"Customer Tax Classes","Данъчни категории клиенти"
"Catalog Product Tax Classes","Каталог продуктов данък класове"
"Tax Rules","Данъчни правила"
"Tax Rates","Данъчни ставки"
"XML Sitemap","XML карта на сайта"
"Widget","Джаджа"
"Cache Management","Управление на кеширането"
"PayPal Settlement Reports","PayPal уреждане доклади"
"Archive File","Архивен файл"
"Date","Дата"
"CSV","CSV"
"Excel XML","Excel XML"
"Time","Време"
"Action Group","Група за действие"
"Action","Действие"
"IP Address","IP адрес"
"Username","Потребителско име"
"Result","Резултат"
"Full Action Name","Пълно действие име"
"Details","Детайли"
"Full Details","Пълни подробности"
"Index Management","Управление на индексирането"
"More permissions are needed to access this.","Необходими са повече права, за да достъпите."
"Bulk Actions","Групови действия"
