"You saved the alert subscription.","Sie werden keine Verfügbarkeitsbenachrichtigungen mehr erhalten."
"There are not enough parameters.","Es gibt nicht genügend Parameter."
"We can't update the alert subscription right now.","We can't update the alert subscription right now."
"Alert subscription has been saved.","Alarm-Abonnierung wurde gespeichert."
"You deleted the alert subscription.","Sie haben das Alarm-Abo gelöscht."
"We can't find the product.","We can't find the product."
"You will no longer receive price alerts for this product.","Sie erhalten künftig keine Preis-Alarme mehr für dieses Produkt."
"Unable to update the alert subscription.","Das Alarm-Abo konnte nicht aktualisiert werden."
"You will no longer receive stock alerts for this product.","Sie erhalten künftig keine Hinweise mehr zum Lagerbestand dieses Produkts."
"The product was not found.","Das Produkt wurde nicht gefunden."
"You will no longer receive stock alerts.","Sie erhalten künftig keine Hinweise mehr zum Lagerbestand."
"Invalid block type: %1","Ungültiger Block Typ: %1"
"Price change alert! We wanted you to know that prices have changed for these products:","Preisänderungshinweis! Wir möchten Sie darüber informieren, dass die Preise der folgenden Produkte geändert haben:"
"Price:","Preis:"
"Click here to stop alerts for this product.","Klicken Sie hier, um keine weiteren Benachrichtigungen für diesen Artikel zu erhalten."
"Unsubscribe from all price alerts","Alle Preis-Benachrichtigungen abbestellen"
"In stock alert! We wanted you to know that these products are now available:","Hinweis zum Lagerbestand! Wir möchten Sie darüber informieren, dass diese Produkte jetzt verfügbar sind:"
"Unsubscribe from all stock alerts","Alle Bestandsbenachrichtigungen abbestellen"
"Product alerts Cron error","Ausführungsfehler bei Artikelbenachrichtigungen"
"Product alerts cron warnings","Ausführungswarnungen bei Artikelbenachrichtigungen"
"Products price changed alert","Artikelpreisänderung Benachrichtigung"
"%name,","%name,"
"Products back in stock alert","Artikel wieder auf Lager Benachrichtigung"
"Product Alerts","Artikelbenachrichtigungen"
"Allow Alert When Product Price Changes","Erlaube Benachrichtigung wenn sich Artikelpreis ändert"
"Allow Alert When Product Comes Back in Stock","Erlaube Benachrichtigung wenn Artikel wieder verfügbar wird"
"Price Alert Email Template","E-Mail-Vorlage Preisbenachrichtigung"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Ausgewählte E-Mail-Vorlage basiert auf dem Fallback-Thema, wenn die Option ""Standard"" gewählt ist."
"Stock Alert Email Template","E-Mail-Vorlage Verfügbarkeitsbenachrichtung"
"Alert Email Sender","Benachrichtigungs-E-Mail-Absender"
"Product Alerts Run Settings","Ausführungseinstellungen für Artikelbenachrichtigungen"
"Frequency","Häufigkeit"
"Start Time","Startzeit"
"Error Email Recipient","Vorlage Fehler-E-Mail"
"Error Email Sender","Fehler-E-Mail-Absender"
"Error Email Template","Fehler-E-Mail-Vorlage"
"Notify me when the price drops","Benachrichtigen Sie mich, wenn der Preis fällt"
"Notify me when this product is in stock","Benachrichtigen Sie mich, wenn das Produkt wieder auf Lager ist"
"Sign up for price alert","Sign up for price alert"
"Sign up to be notified when this product is back in stock.","Sign up to be notified when this product is back in stock."
"The alert subscription couldn't update at this time. Please try again later.","Das Alarm-Abonnement konnte nicht aktualisiert werden. Bitte versuchen Sie es später erneut."
"The product wasn't found. Verify the product and try again.","Das Produkt wurde nicht gefunden. Überprüfen Sie das Produkt und versuchen Sie es erneut."
