"Default Config","Конфигурации по умолчанию"
"Save Config","Сохранить Настройки"
"[GLOBAL]","[ГЛОБАЛЬНО]"
"[WEBSITE]","[САЙТ]"
"[STORE VIEW]","[Представление магазина]"
"Use system value","Использовать системные значения"
"Use Default","Использовать значение по умолчанию"
"Use Website","Use Website"
"Add","Добавить"
"Delete File","Удалить файл"
"Search String","Строка поиска"
"Design Theme","Тема Дизайн"
"Add \Exception","Add \Exception"
"-- No Theme --","-- No Theme --"
"Enable","Включить"
"Disable","Отключить"
"Configuration","Настройки"
"Class for type ""%1"" was not declared","Class for type ""%1"" was not declared"
"%1 should implement %2","%1 should implement %2"
"The value you set has already been locked. To change the value, use the --%1 option.","The value you set has already been locked. To change the value, use the --%1 option."
"%1","%1"
"Configuration for path: ""%1"" doesn't exist","Configuration for path: ""%1"" doesn't exist"
"System","Система"
"You saved the configuration.","Вы сохранили настройки."
"Something went wrong while saving this configuration:","Что-то пошло не так во время сохранения этой конфигурации:"
"Page not found.","Страница не найдена."
"Please specify the admin custom URL.","Пожалуйста, укажите URL-адрес панели управления."
"Invalid %1. %2","Недопустимый %1. %2"
"Value must be a URL or one of placeholders: %1","Значение должно быть URL-адресом, или одним из параметров: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Specify a URL or path that starts with placeholder(s): %1, and ends with ""/""."
"%1 An empty value is allowed as well.","%1 An empty value is allowed as well."
"Specify a fully qualified URL.","Specify a fully qualified URL."
"Selected allowed currency ""%1"" is not available in installed currencies.","Selected allowed currency ""%1"" is not available in installed currencies."
"Default display currency ""%1"" is not available in allowed currencies.","Default display currency ""%1"" is not available in allowed currencies."
"Sorry, we haven't installed the base currency you selected.","К сожалению, мы еще не установили базовую валюту, которую вы выбрали."
"We can't save the Cron expression.","Мы не можем сохранить Cron-выражение."
"Sorry, we haven't installed the default display currency you selected.","Sorry, we haven't installed the default display currency you selected."
"Sorry, the default display currency you selected is not available in allowed currencies.","Sorry, the default display currency you selected is not available in allowed currencies."
"Please correct the email address: ""%1"".","Please correct the email address: ""%1""."
